Fund,Alpha,Beta,Tracking_Error
"('nav', 100016)",0.03747580763443281,-0.058268431438808936,0.19928360293890285
"('nav', 100025)",0.042817920315060876,0.0011582183155281448,0.134535144155856
"('nav', 100033)",0.2719535450128533,0.005103525830528331,0.22869942052083106
"('nav', 101206)",0.21399784776051212,0.021086316250128,0.1927064051369652
"('nav', 101207)",0.10897091901704538,-0.06528924788351526,0.29211742519291634
"('nav', 101208)",0.060861457957871144,0.00026670968338238335,0.12895689217736636
"('nav', 102885)",0.17048756803412696,-0.01948678568947455,0.18368034296960942
"('nav', 102886)",0.028969397866379445,-0.042125029021894314,0.22560814215136635
"('nav', 102887)",0.16211256794033255,0.016682689437770872,0.20221623215661833
"('nav', 118632)",0.21829397904608644,-0.00835383212696199,0.19211519250390108
"('nav', 118633)",0.15643835948169668,-0.036639006718609354,0.19344939246000759
"('nav', 118634)",0.1750072167561127,0.10349663691337586,0.2772863739829554
"('nav', 118635)",0.1513635464823924,-0.0014335213897800994,0.18307639338664927
"('nav', 118636)",0.05074772999976104,0.0012566742731558616,0.13475826828890314
"('nav', 119092)",0.0689952982167755,0.009730745001153633,0.18908165842556612
"('nav', 119093)",0.08232801295222093,0.02588321244009314,0.1878998377218693
"('nav', 119094)",0.2607666908004223,-0.06626542862803761,0.23765197701108381
"('nav', 119095)",0.048015953637759554,-0.06695117463929204,0.28578133369850933
"('nav', 119120)",0.05620895216638369,-0.006413850728276465,0.1356464526704048
"('nav', 119551)",0.23201007160635082,-0.03175144113890974,0.19118256851630833
"('nav', 119552)",0.1986859936686296,-0.026159307513513426,0.19212721030300678
"('nav', 119598)",0.3033696538698332,-0.0231960620440597,0.2838814541332667
"('nav', 119599)",0.048824215945539845,0.06200180438267164,0.2771351379626375
"('nav', 120503)",0.17703302365844073,-0.0402689523698206,0.19294776031543664
"('nav', 120504)",0.2119482701352573,0.01623216976141699,0.1915870037972258
"('nav', 120505)",0.2926358334175106,0.000549004250631702,0.23196750960046322
"('nav', 120506)",0.1625385327998104,0.041896462728119754,0.1960048394985746
"('nav', 120507)",0.06746210411099539,-0.0004440926329707226,0.12904357559503346
"('nav', 120841)",0.13042924450705445,0.036356399022199816,0.18311878418576338
"('nav', 120842)",0.0780443887615508,0.01805687420811815,0.21916937594238364
"('nav', 120843)",0.27330465038306057,-0.02282956979242657,0.20642496841144056
"('nav', 120844)",0.06455677495375998,-0.00040074423947840073,0.12904556781048548
"('nav', 125497)",0.17729754927531766,0.04882040425957739,0.19107208897596137
"('nav', 125498)",0.11989100971217971,0.009054412621739153,0.22359208242967216
"('nav', 148567)",0.2698375144191807,0.023683558075848626,0.1896636779215801
"('nav', 148568)",0.20873010086942337,-0.02638771994384302,0.2032134522514569
"('nav', 148569)",0.2827036785246582,0.01813388408385922,0.2173651888925858
"('nav', 149322)",0.13173190226099432,-0.004050271130006517,0.19326406331048726
"('nav', 149323)",0.26598577542043045,-0.002523004664699259,0.21952116319885406
"('nav', 149324)",0.3005787817097677,0.01145515996052072,0.27917030841826745
