,amfi_code,1Yr_CAGR,3Yr_CAGR,5Yr_CAGR,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Tracking_Error,Max_Drawdown,DD_Peak_Date,DD_Trough_Date,Expense_Ratio,Final_Score
nav,119551,0.48883881388717176,0.27727427651752534,,1.2082665673727182,2.1402671290617943,0.23201007160635082,-0.03175144113890974,0.19118256851630833,-0.1501238549864533,2023-08-24,2024-02-05,0.010824582803960838,79.50000000000001
nav,148567,0.1458071475984759,0.3127857318272198,,1.4482911703262598,2.3856443733688173,0.2698375144191807,0.023683558075848626,0.1896636779215801,-0.11265729075028275,2023-07-11,2023-10-20,0.024312640661491188,78.75000000000001
nav,120843,0.2848107293384283,0.2566188265022562,,1.3067439695428393,2.364320032166715,0.27330465038306057,-0.02282956979242657,0.20642496841144056,-0.1297396816518679,2022-03-07,2022-04-13,0.01715089703802877,77.49999999999999
nav,119094,0.30918202012534524,0.3606601747719518,,0.9982309868636412,1.7037974802463005,0.2607666908004223,-0.06626542862803761,0.23765197701108381,-0.20960883862039192,2022-04-14,2022-08-11,0.011084844859190755,77.375
nav,148569,0.4446574419216476,0.23317122535147572,,1.2349300257743292,2.146913926346055,0.2827036785246582,0.01813388408385922,0.2173651888925858,-0.1639674294693263,2023-08-10,2023-10-20,0.011092275383467413,77.25000000000001
nav,119598,0.8453224636924352,0.27814418371202754,,0.9453082575156091,1.6753165700125516,0.3033696538698332,-0.0231960620440597,0.2838814541332667,-0.2870600572176455,2024-08-28,2025-05-14,0.007789877213040837,76.75
nav,100033,0.4773458959806238,0.3362921056230763,,1.093698743534632,1.8291339615146944,0.2719535450128533,0.005103525830528331,0.22869942052083106,-0.16217208574644848,2022-03-11,2022-05-12,0.019639878836228104,76.62500000000001
nav,101206,0.4509392715300502,0.32528591355184844,,1.0272133278753701,1.7995628746984516,0.21399784776051212,0.021086316250128,0.1927064051369652,-0.11291596329323073,2023-04-24,2023-07-05,0.016973169683940734,76.62500000000001
nav,120505,0.3035341170540422,0.30206534630200976,,1.1801011976606506,2.029352940465749,0.2926358334175106,0.000549004250631702,0.23196750960046322,-0.18188513572116294,2024-10-24,2025-01-23,0.020703519227860272,75.50000000000001
nav,120504,0.11500730028249406,0.28369809430069837,,1.0265242847992995,1.8052937940992546,0.2119482701352573,0.01623216976141699,0.1915870037972258,-0.12588275606922517,2022-10-04,2023-05-30,0.01412139968434072,74.00000000000001
nav,149323,0.22305604128077272,0.24242464971409516,,1.1321218524747234,1.8751010639192067,0.26598577542043045,-0.002523004664699259,0.21952116319885406,-0.17248105753451382,2022-06-06,2022-10-24,0.01868466053024314,69.0
nav,149324,0.6208181174018113,0.25029675402929885,,0.9497958246616042,1.6197931764914126,0.3005787817097677,0.01145515996052072,0.27917030841826745,-0.31171900300634214,2024-05-03,2025-01-03,0.013803049874792025,68.0
nav,102885,0.18318548216870223,0.17520119946365442,,0.8170993373494366,1.4357420130649485,0.17048756803412696,-0.01948678568947455,0.18368034296960942,-0.1085986215250232,2022-02-03,2022-03-29,0.0061616722433639895,65.875
nav,125497,0.2934732237752924,0.1770571225538371,,0.7757902498211211,1.3306512447571364,0.17729754927531766,0.04882040425957739,0.19107208897596137,-0.15200013055606398,2023-12-22,2025-01-01,0.00630103185970559,63.74999999999999
nav,118632,0.21776763418747302,0.18088593620415083,,1.0816591793457033,1.850132546855726,0.21829397904608644,-0.00835383212696199,0.19211519250390108,-0.17414075086657232,2024-01-02,2024-07-19,0.01916145155592091,61.875
nav,118633,0.28406736513935327,0.18128823270614958,,0.6452074382933211,1.154475716923624,0.15643835948169668,-0.036639006718609354,0.19344939246000759,-0.18629743138595511,2023-10-30,2024-02-29,0.005411689885916049,59.5
nav,120506,0.3289620693417177,0.18246287427399865,,0.6488787755249535,1.0958951614736472,0.1625385327998104,0.041896462728119754,0.1960048394985746,-0.1982565826298267,2023-03-31,2023-08-14,0.008993475643167194,57.50000000000001
nav,119552,0.08251685485100624,0.15383382573944893,,0.9532794968660094,1.6097764896283082,0.1986859936686296,-0.026159307513513426,0.19212721030300678,-0.11803493502764295,2024-05-21,2024-09-02,0.01723705789444759,56.625
nav,120503,0.04807407420549259,0.1480416951560286,,0.7979728586052853,1.3379431500669232,0.17703302365844073,-0.0402689523698206,0.19294776031543664,-0.13897862823061635,2023-09-19,2023-11-09,0.012327236865873835,55.125
nav,102887,0.1272785953848785,0.2566304169554934,,0.6195175900829826,1.0887552508030014,0.16211256794033255,0.016682689437770872,0.20221623215661833,-0.21539827112383225,2022-01-03,2022-07-04,0.017022300234864177,53.87499999999999
nav,149322,0.1912760461187113,0.16528044392382957,,0.46403744922047724,0.7621288703723165,0.13173190226099432,-0.004050271130006517,0.19326406331048726,-0.14844576917771746,2022-01-03,2022-02-04,0.006953442280127677,53.25
nav,148568,0.1049631940675948,0.13077495792463978,,0.9262873467360146,1.6327409778735174,0.20873010086942337,-0.02638771994384302,0.2032134522514569,-0.1527259422823477,2023-09-05,2024-01-24,0.021167946962329223,49.875
nav,119093,0.19794246952869954,0.20575450839484977,,0.12961449795669316,0.22108683979276353,0.08232801295222093,0.02588321244009314,0.1878998377218693,-0.21751396370148224,2022-02-24,2023-05-22,0.008668090197068677,48.00000000000001
nav,118635,0.21995365120873123,0.16236841860639406,,0.6648569985490614,1.137976718780742,0.1513635464823924,-0.0014335213897800994,0.18307639338664927,-0.1165062450540909,2022-01-03,2022-06-09,0.021648852816008438,47.00000000000001
nav,120841,0.18155118861657193,0.16684258851596145,,0.4942725378672354,0.8625738849916584,0.13042924450705445,0.036356399022199816,0.18311878418576338,-0.1757361416468729,2024-01-09,2025-02-14,0.01684829137724085,44.625
nav,120507,0.07014400079311978,0.07051904540600296,,0.4957233929533125,1.0521238822609291,0.06746210411099539,-0.0004440926329707226,0.12904357559503346,-0.0009773140045925555,2025-10-16,2025-10-20,0.015284688768272232,42.00000000000001
nav,120842,0.18605448815462422,0.10040620430039637,,0.07599984804658917,0.12469346986475667,0.0780443887615508,0.01805687420811815,0.21916937594238364,-0.24003511326274884,2023-11-09,2024-10-17,0.005929008254399955,40.0
nav,120844,0.06837152766088916,0.0654165743882027,,-0.08874729621557328,-0.1877230477424232,0.06455677495375998,-0.00040074423947840073,0.12904556781048548,-0.0011629327956168556,2024-04-12,2024-04-30,0.008410482473745831,38.87500000000001
nav,119092,0.034029890817970365,0.005559688070353008,,0.030784850954585892,0.05257398559304798,0.0689952982167755,0.009730745001153633,0.18908165842556612,-0.1440161790933726,2023-10-12,2025-02-07,0.008636499344142012,34.375
nav,101208,0.0685429952818637,0.060761500834302096,,-0.8155673679088274,-1.6810378667512842,0.060861457957871144,0.00026670968338238335,0.12895689217736636,-0.0016224980244717857,2023-09-05,2023-09-12,0.008119890406724053,34.375
